"","logFC","logCPM","LR","PValue","FDR"
"PITA_47196",4.78894450045854,3.64340065892253,32.9978672164059,9.22600251922249e-09,2.79022208747044e-06
"PITA_24304",4.69708937593005,0.948952287851243,32.7621351612473,1.04154043516863e-08,3.11372703198861e-06
"PITA_09310",5.97374544012683,1.81843398983537,32.5229828404528,1.17791275493022e-08,3.48140145942957e-06
"PITA_40156",4.30091317276211,1.2838394122107,32.4392983610033,1.22974296944521e-08,3.53263478947447e-06
"PITA_08000",2.92471741128973,5.08945288760241,32.4369534713714,1.23122772540321e-08,3.53263478947447e-06
"PITA_27400",2.97075157074614,3.86803392341988,32.4294446190116,1.23599433212418e-08,3.53263478947447e-06
"PITA_39767",5.12023293155292,0.983798590312076,32.4066653469143,1.25056796191879e-08,3.53543718712456e-06
"PITA_02850",4.43477779788791,2.98800891731087,31.7266187091944,1.77473010733179e-08,4.96332853350457e-06
"PITA_24004",4.48523499962503,1.28712838193636,31.3847114592812,2.11640881111948e-08,5.79428176509542e-06
"PITA_48863",4.54220419148897,2.02769328637986,31.3502615292303,2.1542967630961e-08,5.83657338660068e-06
"PITA_25422",3.29574320303752,6.23971348504737,30.9954701187113,2.5863134995859e-08,6.93478637224017e-06
"PITA_26345",3.07635982105546,4.98009272354643,30.765355856011,2.91190372968246e-08,7.72813307197052e-06
"PITA_41577",3.43616864320549,2.29859310192254,30.1972479573634,3.90262847829825e-08,1.02528751608141e-05
"PITA_09847",3.04834613494782,3.81830595485717,30.1674151785868,3.96312378201066e-08,1.03076886446315e-05
"PITA_42485",3.99973638174279,1.85919072001893,30.1327671410765,4.0345637236623e-08,1.03803920444188e-05
"PITA_02646",5.80804449856571,4.21639745142915,30.1153800402915,4.07089849102511e-08,1.03803920444188e-05
"PITA_13618",5.13266924161716,0.559481378727717,29.8787942697519,4.59915558822965e-08,1.15018690090639e-05
"PITA_14694",7.09339857660872,-0.0503447319731836,29.7043354244771,5.03221519710404e-08,1.2347441986932e-05
"PITA_37045",4.23903448675016,1.06350762563862,29.1212154090518,6.79883843694604e-08,1.652626064547e-05
"PITA_20670",4.15736906133678,5.14229695532455,28.8429438114815,7.84913324866895e-08,1.89026024689473e-05
"PITA_03663",4.5822087782782,0.876558333978168,28.8107349164791,7.98075382250632e-08,1.90432501072997e-05
"PITA_22746",3.43168806625977,4.34767056881973,28.7628336126908,8.18060245626275e-08,1.93426626622671e-05
"PITA_26942",4.71707602250958,0.951337029109683,28.6569795531557,8.64020147918497e-08,2.02453153398308e-05
"PITA_18094",5.70087632208802,0.363030162349784,28.593202594889,8.92950960697187e-08,2.05528863157284e-05
"PITA_34519",4.26082336401274,1.76276807188258,28.5670045415448,9.05114497862771e-08,2.06501078727305e-05
"PITA_47272",4.05075428408112,3.37308075523327,28.0006595365395,1.21274110595883e-07,2.71915374352442e-05
"PITA_38653",4.02759549619111,1.99028088170058,27.945497601663,1.24780962248108e-07,2.77387012573593e-05
"PITA_38782",3.96798073074063,3.60527696565567,27.8588815414413,1.30493674770486e-07,2.85210923286182e-05
"PITA_17006",1.66803644968115,5.75639333674076,27.7817487071582,1.35801206698314e-07,2.9433779875137e-05
"PITA_08649",3.6012216144853,3.21465573821127,27.7442779556674,1.38457122218518e-07,2.97614156345573e-05
"PITA_19528",2.17520755704629,3.79460921965152,27.7146025990177,1.40597390910765e-07,2.99737503294926e-05
"PITA_16273",3.71108178073658,4.93694008392578,27.6570611756658,1.44842374239773e-07,3.0627685460181e-05
"PITA_34562",3.94766997505446,2.83120865110872,27.5501134896952,1.53076387463115e-07,3.21077722703883e-05
"PITA_44277",2.53924947697532,3.92847121091524,27.3447764876537,1.70223648227898e-07,3.51376735457095e-05
"PITA_45156",3.2133531637233,7.14943651071102,26.833821203972,2.2172278482299e-07,4.54077788225288e-05
"PITA_10661",3.30591778432222,5.88057821533109,26.7722623599117,2.28899412276841e-07,4.65112876086591e-05
