"","Sl1","Sl2","Sl3","Ctr1","Ctr2","Ctr3"
"PITA_38458",6.53450756946972,6.9889597622445,4.1428876164544,5.4394536245022,4.14520602167592,6.46051359114498
"PITA_15277",311.5167458118,331.161805720599,266.054221807913,329.177601842791,373.068541950832,505.094698944062
"PITA_09743",6.99712757438793,1.62756597202954,8.28577523290881,5.07682338286872,3.75042449580202,0
"PITA_33813",2.31310002459105,2.20200102098114,0.70732227598002,2.44775413102599,2.46738453671185,3.188305408617
"PITA_31301",28.2776478006256,19.2435741398787,42.6414286376526,53.2159879597132,37.7016357209571,23.0732628255178
"PITA_31714",7.05495507500271,7.08469893706976,14.0453994801747,135.442395250105,39.0833710615158,3.5239165042609
"PITA_38709",5.89840506270718,0.67017422377687,10.6098341397003,12.0574555343132,4.73737831048676,0
"PITA_06178",1.15655001229553,3.15939276923381,3.13242722219723,0,2.76347068111728,1.76195825213045
"PITA_42139",1.85048001967284,0.382956699301068,2.12196682794006,0.18131512081674,2.56607991818033,0.755124965198764
"PITA_11462",14.225565151235,16.4671380699459,14.9548138350061,11.0602223698211,8.58649818775725,15.1864020778863
"PITA_36263",16.3073551733669,5.84008966434129,19.299793530312,13.0546886988053,12.9290949723701,5.36977753030232
"PITA_28367",0.46262000491821,2.87217524475801,3.5366113799001,3.89827509755991,2.07260301083796,0
"PITA_01416",18.100007692425,16.9458339440723,22.3311747130835,16.4996759943233,15.0016979832081,18.2908047125923
"PITA_32233",26.9476152864857,23.8390545314915,25.8677860929836,25.5654320351603,24.772540748587,23.2410683733397
"PITA_17104",5.78275006147763,7.2761772867203,5.55753216841444,4.35156289960176,4.83607369195524,4.95026366074745
"PITA_35308",6.24537006639584,5.93582883916656,9.59937374544313,16.2277033130982,11.0538827244691,6.46051359114498
"PITA_26149",5.26230255594464,6.12730718881709,5.86067028669159,2.99169949347621,3.15825220699117,5.28587475639135
"PITA_42788",77.3731958225707,95.2604789511407,79.321140949188,81.0478590050828,74.3176222457611,99.0052732149491
"PITA_22803",1.85048001967284,2.20200102098114,0,2.08512388939251,0.986953814684742,1.42634715648655
"PITA_14897",1.33003251413985,0.957391748252671,1.51569059138576,1.54117852694229,1.18434457762169,1.00683328693169
"PITA_31948",94.2009985014706,103.398308811288,95.387461217877,94.102547703888,129.784426631044,100.096009275792
"PITA_40137",134.39111142874,138.343107622511,112.868426038526,159.285333637506,169.657360744307,180.307061134683
"PITA_25403",23.7671027526731,23.3603586573652,20.2092078851434,20.3979510918832,18.5547317160731,22.318137860319
"PITA_35749",6.07188756455151,5.07417626573916,11.418202455106,12.7827160175802,10.7577965800637,4.19513869554869
"PITA_51076",4.33706254610822,8.1378298601477,4.54707177415727,0.09065756040837,3.75042449580202,1.17463883475363
"PITA_37596",83.7342208901961,37.3382781818542,144.798974497053,160.19190924159,91.6880093842125,45.3074979119258
"PITA_36658",0,2.58495772028221,1.81882870966291,4.80485070164361,3.65172911433354,2.26537489559629
"PITA_42448",117.274171246766,107.036397454649,103.976374569063,88.7537516397942,114.782728647835,105.297981258272
"PITA_42752",79.2236758422435,68.7407275245418,84.2723968810481,86.7592853108101,72.9358869052024,79.7915379893361
"PITA_28876",83.5607383883517,93.7286521539365,86.8995939061167,95.4624111100136,78.0680467415631,92.1252457542492
"PITA_38522",98.7115435494231,92.8669995805091,94.2759547841941,73.5232814911881,81.3249943300227,84.7418016500835
"PITA_16088",30.243782821528,13.1162669510616,35.1640217201496,31.5488310221128,55.9602812926249,31.7991513122591
"PITA_43741",14.225565151235,15.2225287972175,10.2056499819974,9.33772872206211,7.40215361013556,13.2566382779339
"PITA_17218",1.09872251168075,1.1488700979032,1.21255247310861,0.9065756040837,0.296086144405423,1.67805547821948
"PITA_24519",7.11278257561748,5.64861131469076,4.54707177415727,1.54117852694229,4.04651064020744,4.36294424337064
"PITA_17625",155.787286656207,246.719853524713,141.262363117153,208.965676741293,142.812216984882,264.293737819567
"PITA_38333",7.40192007869136,8.32930820979823,6.16380840496875,4.5328780204185,4.04651064020744,5.70538862594622
"PITA_28441",168.335854289614,141.215282867269,155.914038833882,106.25066079861,115.473596318115,164.365534091598
"PITA_00261",52.6230255594464,63.1878553846763,58.4046107880645,57.7488659801317,61.5859180363279,59.9904833463463
"PITA_50722",42.3297304500162,17.8074865174997,49.1083751608985,76.3336658638475,65.6324286765353,21.3113045733873
"PITA_39816",104.72560361336,130.588234461664,96.3979216121342,93.0146569789876,75.6006622048512,162.687478613378
"PITA_38892",473.260265031329,434.655853706713,365.483524602819,289.1976177027,581.217101467844,398.286467755393
"PITA_00955",0.636102506762539,1.05313092307794,0.404184157702869,1.8131512081674,1.08564919615322,1.67805547821948
"PITA_17080",6.47668006885494,4.88269791608862,4.44602573473155,4.07959021837665,5.03346445489218,4.02733314772674
"PITA_48735",1.15655001229553,3.54234946853488,0,2.44775413102599,1.97390762936948,0.922930513020712
"PITA_19895",3.23834003442747,2.68069689510748,3.23347326162295,3.08235705388458,3.35564296992812,3.44001373034993
"PITA_38455",3.58530503811613,2.58495772028221,3.33451930104867,2.99169949347621,1.77651686643254,2.60098599124019
"PITA_13937",1.09872251168075,0.478695874126335,0.909414354831454,1.17854828530881,1.57912610349559,0.503416643465843
"PITA_02590",0,13.2120061258869,2.62719702506865,0,2.56607991818033,4.53074979119258
"PITA_07570",36.4891528879238,15.3182679720427,48.9062830820471,25.6560895955687,29.9047005849477,35.7425816860748
"PITA_01588",7.22843757684704,13.4034844755374,13.2370311647689,6.3460292285859,15.7912610349559,9.14540235629614
